Tanggal,Waktu,Lat,Long,ICAO,Angin,Visibility,Cuaca
04/04/2021,05:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,27009KT,9999,BKN012
04/04/2021,05:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,32010KT,9999,BKN012
04/04/2021,06:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,29008KT,9999,BKN012
04/04/2021,06:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,26010KT,9999,SCT012
04/04/2021,07:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,28011KT,9999,SCT012
04/04/2021,07:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,28011KT,9999,FEW013
04/04/2021,08:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,28010KT,9999,FEW013
04/04/2021,08:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,25012KT,9999,FEW013
04/04/2021,09:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,25012KT,9999,FEW013
04/04/2021,09:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,26010KT,9999,FEW013
04/04/2021,10:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,28009KT,9999,FEW013
04/04/2021,10:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,26006KT,8000,FEW013
04/04/2021,11:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,27005KT,8000,FEW013
04/04/2021,11:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,8000,FEW013
04/04/2021,12:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,6000,FEW013
04/04/2021,12:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,6000,FEW013
04/04/2021,13:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,6000,FEW013
04/04/2021,13:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,3000,HZ
04/04/2021,14:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,22003KT,3000,HZ
04/04/2021,14:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,3000,HZ
04/04/2021,15:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,3000,HZ
04/04/2021,15:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,4000,HZ
04/04/2021,16:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,3000,HZ
04/04/2021,16:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,3000,HZ
04/04/2021,17:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,07003KT,4000,HZ
04/04/2021,17:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,4000,HZ
04/04/2021,18:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,00000KT,3000,HZ
04/04/2021,18:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,23001KT,3700
04/04/2021,19:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,06002KT,4400
04/04/2021,19:30:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,08002KT,4100
04/04/2021,20:00:00Z	,-0.14888888888888888,109.40277777777779,WIOO,AUTO,10001KT,5000
