BUJUR	LINTANG	KEPERCAYAAN	REGION	PROVINSI	KABUPATEN	KECAMATAN	SATELIT	TANGGAL	WAKTU
110.6647	-7.2843	9	JAWA	JAWA TENGAH	KAB. BOYOLALI	WONOSEGORO	SNPP	2020-09-12	05:24:59.000000		
110.6607	-7.2848	9	JAWA	JAWA TENGAH	KAB. BOYOLALI	WONOSEGORO	SNPP	2020-09-12	05:24:59.000000		
110.6692	-7.2890	8	JAWA	JAWA TENGAH	KAB. BOYOLALI	WONOSEGORO	NOAA20	2020-09-12	06:14:46.000000		
110.6653	-7.2896	8	JAWA	JAWA TENGAH	KAB. BOYOLALI	WONOSEGORO	NOAA20	2020-09-12	06:14:46.000000		
110.6764	-7.2843	7	JAWA	JAWA TENGAH	KAB. BOYOLALI	WONOSEGORO	NOAA20	2020-09-12	06:14:46.000000		
110.6725	-7.2849	7	JAWA	JAWA TENGAH	KAB. BOYOLALI	WONOSEGORO	NOAA20	2020-09-12	06:14:46.000000		
108.8358	-7.0316	8	JAWA	JAWA TENGAH	KAB. BREBES	BANJARHARJO	NOAA20	2020-09-12	06:14:46.000000		
108.8071	-6.9920	7	JAWA	JAWA TENGAH	KAB. BREBES	BANJARHARJO	NOAA20	2020-09-12	06:14:46.000000		
108.9202	-6.9135	8	JAWA	JAWA TENGAH	KAB. BREBES	BULAKAMBA	NOAA20	2020-09-12	06:14:46.000000		
108.9022	-6.8689	8	JAWA	JAWA TENGAH	KAB. BREBES	BULAKAMBA	NOAA20	2020-09-12	06:14:46.000000		
108.8933	-7.1044	7	JAWA	JAWA TENGAH	KAB. BREBES	KETANGGUNGAN	NOAA20	2020-09-12	06:14:46.000000		
108.8943	-7.0872	7	JAWA	JAWA TENGAH	KAB. BREBES	LARANGAN	NOAA20	2020-09-12	06:14:46.000000		
109.0047	-7.1518	7	JAWA	JAWA TENGAH	KAB. BREBES	TONJONG	NOAA20	2020-09-12	06:14:46.000000		
108.8322	-7.4695	8	JAWA	JAWA TENGAH	KAB. CILACAP	CANDRUNGMANGU	AQUA	2020-09-12	06:11:00		
108.8335	-7.4703	8	JAWA	JAWA TENGAH	KAB. CILACAP	CANDRUNGMANGU	SNPP	2020-09-12	05:24:59.000000		
108.8378	-7.4691	8	JAWA	JAWA TENGAH	KAB. CILACAP	CANDRUNGMANGU	NOAA20	2020-09-12	06:14:46.000000		
108.8343	-7.4696	7	JAWA	JAWA TENGAH	KAB. CILACAP	CANDRUNGMANGU	NOAA20	2020-09-12	06:14:46.000000		
108.8372	-7.4658	8	JAWA	JAWA TENGAH	KAB. CILACAP	CANDRUNGMANGU	NOAA20	2020-09-12	06:14:46.000000		
108.9961	-7.7028	7	JAWA	JAWA TENGAH	KAB. CILACAP	CILACAP TENGAH	NOAA20	2020-09-12	06:14:46.000000		
108.9452	-7.5612	8	JAWA	JAWA TENGAH	KAB. CILACAP	KAWUNGANTEN	NOAA20	2020-09-12	06:14:46.000000		
108.7778	-7.5427	8	JAWA	JAWA TENGAH	KAB. CILACAP	KEDUNGREJA	NOAA20	2020-09-12	06:14:46.000000		
108.7758	-7.5294	7	JAWA	JAWA TENGAH	KAB. CILACAP	KEDUNGREJA	NOAA20	2020-09-12	06:14:46.000000		
110.5851	-6.8233	7	JAWA	JAWA TENGAH	KAB. DEMAK	BONANG	NOAA20	2020-09-12	06:14:46.000000		
110.6097	-6.8963	8	JAWA	JAWA TENGAH	KAB. DEMAK	DEMAK	SNPP	2020-09-12	05:24:59.000000		
110.6242	-6.8723	8	JAWA	JAWA TENGAH	KAB. DEMAK	DEMAK	NOAA20	2020-09-12	06:14:46.000000		
110.7234	-6.8960	7	JAWA	JAWA TENGAH	KAB. DEMAK	GAJAH	NOAA20	2020-09-12	06:14:46.000000		
111.1535	-7.2591	7	JAWA	JAWA TENGAH	KAB. GROBOGAN	GABUS	NOAA20	2020-09-12	06:14:46.000000		
111.2293	-7.2398	8	JAWA	JAWA TENGAH	KAB. GROBOGAN	GABUS	NOAA20	2020-09-12	06:14:46.000000		
111.1752	-7.2119	7	JAWA	JAWA TENGAH	KAB. GROBOGAN	GABUS	NOAA20	2020-09-12	06:14:46.000000		
110.8384	-7.2468	7	JAWA	JAWA TENGAH	KAB. GROBOGAN	GEYER	NOAA20	2020-09-12	06:14:46.000000		
110.5668	-7.1661	7	JAWA	JAWA TENGAH	KAB. GROBOGAN	KEDUNGJATI	NOAA20	2020-09-12	06:14:46.000000		
110.5630	-7.1667	7	JAWA	JAWA TENGAH	KAB. GROBOGAN	KEDUNGJATI	NOAA20	2020-09-12	06:14:46.000000		
111.1635	-7.0038	8	JAWA	JAWA TENGAH	KAB. GROBOGAN	NGARINGAN	NOAA20	2020-09-12	06:14:46.000000		
111.0134	-7.0205	7	JAWA	JAWA TENGAH	KAB. GROBOGAN	TAWANGHARJO	NOAA20	2020-09-12	06:14:46.000000		
111.0094	-7.0211	7	JAWA	JAWA TENGAH	KAB. GROBOGAN	TAWANGHARJO	NOAA20	2020-09-12	06:14:46.000000		
110.9833	-6.9602	8	JAWA	JAWA TENGAH	KAB. PATI	KAYEN	NOAA20	2020-09-12	06:14:46.000000		
111.1635	-6.8659	8	JAWA	JAWA TENGAH	KAB. PATI	PUCAKWANGI	NOAA20	2020-09-12	06:14:46.000000		
111.1641	-6.8670	8	JAWA	JAWA TENGAH	KAB. PATI	PUCAKWANGI	NOAA20	2020-09-12	06:14:46.000000		
111.2334	-6.8269	8	JAWA	JAWA TENGAH	KAB. PATI	PUCAKWANGI	NOAA20	2020-09-12	06:14:46.000000		
111.0060	-6.6671	8	JAWA	JAWA TENGAH	KAB. PATI	TLOGOWUNGU	SNPP	2020-09-12	05:24:59.000000		
111.0821	-6.9045	8	JAWA	JAWA TENGAH	KAB. PATI	WINONG	NOAA20	2020-09-12	06:14:46.000000		
111.1129	-6.8886	8	JAWA	JAWA TENGAH	KAB. PATI	WINONG	NOAA20	2020-09-12	06:14:46.000000		
109.4253	-6.9818	8	JAWA	JAWA TENGAH	KAB. PEMALANG	BANTARBOLANG	SNPP	2020-09-12	05:24:59.000000		
111.3563	-6.8260	8	JAWA	JAWA TENGAH	KAB. REMBANG	BULU	NOAA20	2020-09-12	06:14:46.000000		
111.5891	-6.9031	8	JAWA	JAWA TENGAH	KAB. REMBANG	SALE	SNPP	2020-09-12	05:24:59.000000		
111.6002	-6.9039	8	JAWA	JAWA TENGAH	KAB. REMBANG	SALE	NOAA20	2020-09-12	06:14:46.000000		
111.5915	-6.9053	8	JAWA	JAWA TENGAH	KAB. REMBANG	SALE	NOAA20	2020-09-12	06:14:46.000000		
111.5872	-6.9060	8	JAWA	JAWA TENGAH	KAB. REMBANG	SALE	NOAA20	2020-09-12	06:14:46.000000		
111.6011	-6.9036	8	JAWA	JAWA TENGAH	KAB. REMBANG	SALE	NOAA20	2020-09-12	06:14:46.000000		
111.5881	-6.9056	8	JAWA	JAWA TENGAH	KAB. REMBANG	SALE	NOAA20	2020-09-12	06:14:46.000000		
111.5871	-6.8983	8	JAWA	JAWA TENGAH	KAB. REMBANG	SALE	NOAA20	2020-09-12	06:14:46.000000		
111.5636	-6.8871	8	JAWA	JAWA TENGAH	KAB. REMBANG	SALE	NOAA20	2020-09-12	06:14:46.000000		
111.5439	-6.8193	8	JAWA	JAWA TENGAH	KAB. REMBANG	SALE	NOAA20	2020-09-12	06:14:46.000000		
111.6201	-6.8088	8	JAWA	JAWA TENGAH	KAB. REMBANG	SARANG	SNPP	2020-09-12	05:24:59.000000		
111.6176	-6.8111	8	JAWA	JAWA TENGAH	KAB. REMBANG	SARANG	NOAA20	2020-09-12	06:14:46.000000		
111.5467	-6.7855	8	JAWA	JAWA TENGAH	KAB. REMBANG	SEDAN	SNPP	2020-09-12	05:24:59.000000		
111.5490	-6.7884	7	JAWA	JAWA TENGAH	KAB. REMBANG	SEDAN	NOAA20	2020-09-12	06:14:46.000000		
109.0233	-7.0880	7	JAWA	JAWA TENGAH	KAB. TEGAL	MARGASARI	NOAA20	2020-09-12	06:14:46.000000		
112.9751	-7.1682	8	JAWA	JAWA TIMUR	KAB. BANGKALAN	MODUNG	NOAA20	2020-09-12	06:14:46.000000		
114.0023	-8.3826	8	JAWA	JAWA TIMUR	KAB. BANYUWANGI	GLENMORE	SNPP	2020-09-12	05:24:59.000000		
114.0040	-8.3810	8	JAWA	JAWA TIMUR	KAB. BANYUWANGI	GLENMORE	SNPP	2020-09-12	05:24:59.000000		
114.0756	-8.3092	8	JAWA	JAWA TIMUR	KAB. BANYUWANGI	GLENMORE	SNPP	2020-09-12	05:24:59.000000		
114.4116	-8.0669	8	JAWA	JAWA TIMUR	KAB. BANYUWANGI	WONGSOREJO	NOAA20	2020-09-12	06:14:46.000000		
112.1469	-8.1730	8	JAWA	JAWA TIMUR	KAB. BLITAR	KADEMANGAN	SNPP	2020-09-12	05:24:59.000000		
112.1520	-8.1705	8	JAWA	JAWA TIMUR	KAB. BLITAR	KADEMANGAN	NOAA20	2020-09-12	06:14:46.000000		
111.7916	-7.2325	8	JAWA	JAWA TIMUR	KAB. BOJONEGORO	NGASEM	NOAA20	2020-09-12	06:14:46.000000		
113.9453	-7.8970	8	JAWA	JAWA TIMUR	KAB. BONDOWOSO	TAPEN	NOAA20	2020-09-12	06:14:46.000000		
112.4479	-6.9160	8	JAWA	JAWA TIMUR	KAB. GRESIK	PANCENG	SNPP	2020-09-12	05:24:59.000000		
112.5221	-6.9215	8	JAWA	JAWA TIMUR	KAB. GRESIK	UJUNGPANGKAH	SNPP	2020-09-12	05:24:59.000000		
112.5394	-6.9254	8	JAWA	JAWA TIMUR	KAB. GRESIK	UJUNGPANGKAH	NOAA20	2020-09-12	06:14:46.000000		
