BUJUR	LINTANG	KEPERCAYAAN	REGION	PROVINSI	KABUPATEN	KECAMATAN	SATELIT	TANGGAL	WAKTU
111.1466	-2.2788	8	KALIMANTAN	 KALIMANTAN TENGAH 	 KAB. SUKAMARA 	PERMATA KECUBUNG 	AQUA	2020-08-04	06:05:00.000000		
111.1533	-2.5807	9	KALIMANTAN	 KALIMANTAN TENGAH 	 KAB. SUKAMARA 	SUKAMARA 	AQUA	2020-08-04	06:05:00.000000		
134.1525	-6.6708	8	KEPULAUAN MALUKU	 MALUKU 	 KAB. KEPULAUAN ARU 	ARU SELATAN 	NOAA20	2020-08-04	05:06:11.000000		
125.9581	-7.7317	8	KEPULAUAN MALUKU	 MALUKU 	 KAB. MALUKU BARAT DAYA 	PULAU TERSELATAN 	NOAA20	2020-08-04	05:06:11.000000		
127.9020	-8.1882	8	KEPULAUAN MALUKU	 MALUKU 	 KAB. MALUKU BARAT DAYA 	SERWARU 	NOAA20	2020-08-04	05:04:46.000000		
130.8664	-8.2954	8	KEPULAUAN MALUKU	 MALUKU 	 KAB. MALUKU TENGGARA BARAT 	TANIMBAR SELATAN 	SNPP	2020-08-04	04:15:01.000000		
130.8696	-8.3009	8	KEPULAUAN MALUKU	 MALUKU 	 KAB. MALUKU TENGGARA BARAT 	TANIMBAR SELATAN 	NOAA20	2020-08-04	05:04:46.000000		
130.8689	-8.2969	8	KEPULAUAN MALUKU	 MALUKU 	 KAB. MALUKU TENGGARA BARAT 	TANIMBAR SELATAN 	NOAA20	2020-08-04	05:04:46.000000		
130.8654	-8.2975	8	KEPULAUAN MALUKU	 MALUKU 	 KAB. MALUKU TENGGARA BARAT 	TANIMBAR SELATAN 	NOAA20	2020-08-04	05:04:46.000000		
130.8619	-8.2981	8	KEPULAUAN MALUKU	 MALUKU 	 KAB. MALUKU TENGGARA BARAT 	TANIMBAR SELATAN 	NOAA20	2020-08-04	05:04:46.000000		
130.8578	-8.2946	8	KEPULAUAN MALUKU	 MALUKU 	 KAB. MALUKU TENGGARA BARAT 	TANIMBAR SELATAN 	NOAA20	2020-08-04	05:04:46.000000		
130.8542	-8.2952	8	KEPULAUAN MALUKU	 MALUKU 	 KAB. MALUKU TENGGARA BARAT 	TANIMBAR SELATAN 	NOAA20	2020-08-04	05:04:46.000000		
130.8535	-8.2912	8	KEPULAUAN MALUKU	 MALUKU 	 KAB. MALUKU TENGGARA BARAT 	TANIMBAR SELATAN 	NOAA20	2020-08-04	05:04:46.000000		
132.7803	-5.6452	8	KEPULAUAN MALUKU	 MALUKU 	 KOTA TUAL 	DULLAH SELATAN 	SNPP	2020-08-04	04:16:26.000000		
127.4363	-1.4534	8	KEPULAUAN MALUKU	 MALUKU UTARA 	 KAB. HALMAHERA SELATAN 	OBI 	NOAA20	2020-08-04	16:09:04.000000		
127.4322	-1.4583	8	KEPULAUAN MALUKU	 MALUKU UTARA 	 KAB. HALMAHERA SELATAN 	OBI 	NOAA20	2020-08-04	16:09:04.000000		
127.4362	-1.4568	8	KEPULAUAN MALUKU	 MALUKU UTARA 	 KAB. HALMAHERA SELATAN 	OBI 	SNPP	2020-08-04	16:58:53.000000		
127.4364	-1.4580	8	KEPULAUAN MALUKU	 MALUKU UTARA 	 KAB. HALMAHERA SELATAN 	OBI 	SNPP	2020-08-04	16:58:53.000000		
127.4214	-1.5315	8	KEPULAUAN MALUKU	 MALUKU UTARA 	 KAB. HALMAHERA SELATAN 	OBI 	SNPP	2020-08-04	16:58:53.000000		
118.7360	-8.5718	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	BELO 	NOAA20	2020-08-04	05:06:11.000000		
118.6337	-8.4926	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	BOLO 	NOAA20	2020-08-04	05:06:11.000000		
118.5248	-8.5012	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	BOLO 	SNPP	2020-08-04	05:55:59.000000		
118.6796	-8.4576	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	DONGGO 	NOAA20	2020-08-04	05:06:11.000000		
118.6748	-8.4583	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	DONGGO 	NOAA20	2020-08-04	05:06:11.000000		
118.5821	-8.4708	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	DONGGO 	NOAA20	2020-08-04	05:06:11.000000		
118.6759	-8.4563	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	DONGGO 	SNPP	2020-08-04	05:55:59.000000		
118.5821	-8.4718	8	KEPULAUAN NUSA TENGGARA	 NUSA TENGGARA BARAT 	 KAB. BIMA 	DONGGO 	SNPP	2020-08-04	05:55:59.000000		
