BUJUR	LINTANG	KEPERCAYAAN	REGION	PROVINSI	KABUPATEN	KECAMATAN	SATELIT	TANGGAL	WAKTU
109.1194	1.1036	8	KALIMANTAN	"KALIMANTAN BARAT"	SAMBAS	TEBAS	SNPP	2021-02-24	12:25:10		
109.1196	1.1025	8	KALIMANTAN	"KALIMANTAN BARAT"	SAMBAS	TEBAS	SNPP	2021-02-25	01:09:04		
109.1191	1.0991	8	KALIMANTAN	"KALIMANTAN BARAT"	SAMBAS	TEBAS	SNPP	2021-02-25	01:09:04		
109.1165	1.1065	8	KALIMANTAN	"KALIMANTAN BARAT"	SAMBAS	TEBAS	SNPP	2021-02-25	01:09:04		
117.5566	-0.7604	8	KALIMANTAN	"KALIMANTAN TIMUR"	"KUTAI KARTANEGARA"	PALARAN	SNPP	2021-02-24	12:25:10		
115.7705	3.9539	7	KALIMANTAN	"KALIMANTAN UTARA"	NUNUKAN	KRAYAN	SNPP	2021-02-24	12:25:10		
117.7776	4.1332	8	KALIMANTAN	"KALIMANTAN UTARA"	NUNUKAN	SEBATIK	SNPP	2021-02-24	12:25:10		
119.9870	-0.4604	8	SULAWESI	"SULAWESI TENGAH"	PARIGIMOUTONG	AMPIBABO	SNPP	2021-02-24	12:25:10		
121.7269	-4.5658	8	SULAWESI	"SULAWESI TENGGARA"	BOMBANA	"POLEANG UTARA"	SNPP	2021-02-24	12:25:10		
107.8399	-2.6778	8	SUMATERA	"KEP. BANGKA BELITUNG"	BELITUNG	SIJUK	SNPP	2021-02-25	01:09:04		
104.1074	0.9462	8	SUMATERA	"KEP. RIAU"	BATAM	GALANG	SNPP	2021-02-25	01:09:04		
108.0950	3.8452	8	SUMATERA	"KEP. RIAU"	NATUNA	"BUNGURAN BARAT"	AQUA	2021-02-24	13:31:00		
108.0962	3.8498	8	SUMATERA	"KEP. RIAU"	NATUNA	"BUNGURAN BARAT"	SNPP	2021-02-24	12:25:10		
108.0968	3.8463	8	SUMATERA	"KEP. RIAU"	NATUNA	"BUNGURAN BARAT"	SNPP	2021-02-25	01:09:04		
108.1854	3.8698	8	SUMATERA	"KEP. RIAU"	NATUNA	"BUNGURAN BARAT"	SNPP	2021-02-25	01:09:04		
108.2591	3.8223	8	SUMATERA	"KEP. RIAU"	NATUNA	"BUNGURAN BARAT"	SNPP	2021-02-24	12:25:10		
108.2783	3.9661	9	SUMATERA	"KEP. RIAU"	NATUNA	"BUNGURAN TIMUR"	SNPP	2021-02-24	12:25:10		
108.3119	3.8963	8	SUMATERA	"KEP. RIAU"	NATUNA	"BUNGURAN TIMUR"	SNPP	2021-02-24	12:25:10		
