BUJUR	LINTANG	KEPERCAYAAN	REGION	PROVINSI	KABUPATEN	KECAMATAN	SATELIT	TANGGAL	WAKTU
117.9317	-8.8069	8	KEPULAUAN NUSA TENGGARA	NUSA TENGGARA BARAT	KAB. SUMBAWA	EMPANG	AQUA	2020-08-08	05:40:00		
117.6922	-8.5921	8	KEPULAUAN NUSA TENGGARA	NUSA TENGGARA BARAT	KAB. SUMBAWA	LAPE	AQUA	2020-08-08	05:40:00		
117.4959	-8.4452	8	KEPULAUAN NUSA TENGGARA	NUSA TENGGARA BARAT	KAB. SUMBAWA	MOYO UTARA	AQUA	2020-08-08	05:40:00		
117.8735	-8.7965	8	KEPULAUAN NUSA TENGGARA	NUSA TENGGARA BARAT	KAB. SUMBAWA	PLAMPANG	AQUA	2020-08-08	05:40:00		
118.7080	-8.3930	8	KEPULAUAN NUSA TENGGARA	NUSA TENGGARA BARAT	KOTA BIMA	RASANAE BARAT	AQUA	2020-08-08	05:40:00		
120.3287	-8.6003	8	KEPULAUAN NUSA TENGGARA	NUSA TENGGARA TIMUR	KAB. MANGGARAI	RUTENG	AQUA	2020-08-08	05:40:00		
120.8221	-8.7568	8	KEPULAUAN NUSA TENGGARA	NUSA TENGGARA TIMUR	KAB. MANGGARAI TIMUR	KOTAKOMBA	AQUA	2020-08-08	05:40:00		
119.4388	-9.4844	8	KEPULAUAN NUSA TENGGARA	NUSA TENGGARA TIMUR	KAB. SUMBA BARAT	LOLI	AQUA	2020-08-08	05:40:00		
119.9863	-9.3675	8	KEPULAUAN NUSA TENGGARA	NUSA TENGGARA TIMUR	KAB. SUMBA TIMUR	HAHARU	AQUA	2020-08-08	05:40:00		
120.2144	-9.8770	8	KEPULAUAN NUSA TENGGARA	NUSA TENGGARA TIMUR	KAB. SUMBA TIMUR	PABERIWAI	AQUA	2020-08-08	05:40:00		
120.2051	-9.8784	8	KEPULAUAN NUSA TENGGARA	NUSA TENGGARA TIMUR	KAB. SUMBA TIMUR	PABERIWAI	AQUA	2020-08-08	05:40:00		
120.1595	-9.9599	8	KEPULAUAN NUSA TENGGARA	NUSA TENGGARA TIMUR	KAB. SUMBA TIMUR	TABUNDUNG	TERRA	2020-08-08	02:46:00		
120.1581	-9.9687	8	KEPULAUAN NUSA TENGGARA	NUSA TENGGARA TIMUR	KAB. SUMBA TIMUR	TABUNDUNG	AQUA	2020-08-08	05:40:00		
120.1488	-9.9700	8	KEPULAUAN NUSA TENGGARA	NUSA TENGGARA TIMUR	KAB. SUMBA TIMUR	TABUNDUNG	AQUA	2020-08-08	05:40:00		
120.0929	-9.8948	8	KEPULAUAN NUSA TENGGARA	NUSA TENGGARA TIMUR	KAB. SUMBA TIMUR	TABUNDUNG	AQUA	2020-08-08	05:40:00		
120.1648	-9.8657	8	KEPULAUAN NUSA TENGGARA	NUSA TENGGARA TIMUR	KAB. SUMBA TIMUR	TABUNDUNG	AQUA	2020-08-08	05:40:00		
120.1555	-9.8670	9	KEPULAUAN NUSA TENGGARA	NUSA TENGGARA TIMUR	KAB. SUMBA TIMUR	TABUNDUNG	AQUA	2020-08-08	05:40:00		
120.1543	-9.8579	8	KEPULAUAN NUSA TENGGARA	NUSA TENGGARA TIMUR	KAB. SUMBA TIMUR	TABUNDUNG	AQUA	2020-08-08	05:40:00		
120.1449	-9.8593	8	KEPULAUAN NUSA TENGGARA	NUSA TENGGARA TIMUR	KAB. SUMBA TIMUR	TABUNDUNG	AQUA	2020-08-08	05:40:00		
140.1374	-2.6035	8	PAPUA	PAPUA	KAB. JAYAPURA	NIMBORAN	AQUA	2020-08-08	04:07:00		
140.3904	-2.5291	8	PAPUA	PAPUA	KAB. JAYAPURA	SENTANI BARAT	AQUA	2020-08-08	04:07:00		
140.1205	-4.0765	8	PAPUA	PAPUA	KAB. YAHUKIMO	ENDOMEN	AQUA	2020-08-08	04:07:00		
122.4784	0.7722	8	SULAWESI	GORONTALO	KAB. GORONTALO	ASPARAGA	AQUA	2020-08-08	05:40:00		
121.5024	-2.9303	8	SULAWESI	SULAWESI SELATAN	KAB. LUWU TIMUR	TOWUTI	AQUA	2020-08-08	05:40:00		
121.8197	-1.3310	8	SULAWESI	SULAWESI TENGAH	KAB. MOROWALI UTARA	MAMOSALATO	AQUA	2020-08-08	05:40:00		
120.7345	-2.0724	8	SULAWESI	SULAWESI TENGAH	KAB. POSO	PAMONA SELATAN	TERRA	2020-08-08	02:46:00		
122.4140	-3.9068	8	SULAWESI	SULAWESI TENGGARA	KAB. KONAWE	BONDOALA	AQUA	2020-08-08	05:40:00		
